job_title,company_name,location,salary_range,job_type,experience_level,education_req,job_requirements,posted_date,source_platform,city,province,salary_visible,salary_min,salary_max,title_length,requirements_length
ROS Software Engineer,PT Widya Inovasi Indonesia,"Kab. Sleman,DI Yogyakarta",Rp 4 jt-5 jt,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+6 | Ros Software,6 hari yang lalu,glints,Kab. Sleman,DI Yogyakarta,1,4000000,5000000,21,17
Junior Software Engineer,Hijrahfood Group,"Bekasi,Jawa Barat","Rp 5 jt-6,5 jt",Penuh Waktu,1–3 tahun,Minimal Diploma (D1 - D4),+3 | GIT,14 hari yang lalu,glints,Bekasi,Jawa Barat,1,5000000,6500000,24,8
Software Engineer Internship,Algobash,"Jakarta Selatan,DKI Jakarta",Rp 3 jt-6 jt,Magang,Not Specified,Minimal Sarjana (S1),+4 | TypeScript | Remote/Dari rumah,15 hari yang lalu,glints,Jakarta Selatan,DKI Jakarta,1,3000000,6000000,28,35
Senior Software Engineer,iQuartz Pte Ltd,"Jakarta Pusat,DKI Jakarta",Rp 10 jt-12 jt,Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),+2 | React.js,20 hari yang lalu,glints,Jakarta Pusat,DKI Jakarta,1,10000000,12000000,24,13
Software Engineer (Bootcamp),PT Formulatrix Indonesia,"Salatiga,Jawa Tengah",Tidak Ditampilkan,Magang,Not Specified,Minimal Diploma (D1 - D4),C# | Python | Java,22 hari yang lalu,glints,Salatiga,Jawa Tengah,0,0,0,28,18
Software Engineer Intern,Imperial Healthtech,"Semarang,Jawa Tengah",Tidak Ditampilkan,Magang,Not Specified,Minimal SMA/SMK,+2 | React.js | PostgreSQL,22 hari yang lalu,glints,Semarang,Jawa Tengah,0,0,0,24,26
Software Engineer (IT Operational Engineer),Pt. Solusi Pembayaran Elektronik,"Tangerang,Banten",Rp 10 jt-12 jt,Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),Hybrid | +6,3 hari yang lalu,glints,Tangerang,Banten,1,10000000,12000000,43,11
Software Engineer Intern,Studia Academy Ltd,"Jakarta Barat,DKI Jakarta","Rp 2,5 jt-3,5 jt",Magang,Not Specified,Minimal Sarjana (S1),Hybrid | TypeScript | +5,25 hari yang lalu,glints,Jakarta Barat,DKI Jakarta,1,2500000,3500000,24,24
Junior Software Engineer,iQuartz Pte Ltd,"Jakarta Pusat,DKI Jakarta",Rp 6 jt-7 jt,Penuh Waktu,Not Specified,Minimal Sarjana (S1),PostgreSQL | React.js | Go / Golang,29 hari yang lalu,glints,Jakarta Pusat,DKI Jakarta,1,6000000,7000000,24,35
Software Development Engineer,PT Fan Integrasi Teknologi,"Bandung,Jawa Barat",Tidak Ditampilkan,Penuh Waktu,3–5 tahun,Minimal Diploma (D1 - D4),+2 | Springboot,3 hari yang lalu,glints,Bandung,Jawa Barat,0,0,0,29,15
Software QA Engineer,PT Inosoft Trans Sistem,"Surabaya,Jawa Timur",Rp 5 jt-7 jt,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),Remote/Dari rumah | +12,4 hari yang lalu,glints,Surabaya,Jawa Timur,1,5000000,7000000,20,23
Software Developer,Pt. Swadharma Duta Data,"Jakarta Pusat,DKI Jakarta",Rp 7 jt-10 jt,Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),+9 | Oracle Database,2 hari yang lalu,glints,Jakarta Pusat,DKI Jakarta,1,7000000,10000000,18,20
Software Developer,PT Tomorrow World Internasional,"Jakarta Barat,DKI Jakarta",Tidak Ditampilkan,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+2 | Software Development,3 hari yang lalu,glints,Jakarta Barat,DKI Jakarta,0,0,0,18,25
Software Developer,PT Tigernix Solutions Indonesia,"Batam,Kepulauan Riau",Tidak Ditampilkan,Kontrak,1–3 tahun,Minimal SMA/SMK,+3 | Node.js,2 hari yang lalu,glints,Batam,Kepulauan Riau,0,0,0,18,12
Software Developer,AFRA,"Tangerang Selatan,Banten","Rp 7,5 jt-9 jt",Penuh Waktu,3–5 tahun,Minimal Diploma (D1 - D4),+10 | Restful API,4 hari yang lalu,glints,Tangerang Selatan,Banten,1,7500000,9000000,18,17
Software Developer,PT Panorama Sentrawisata Tbk,"Jakarta Barat,DKI Jakarta",Rp 10 jt-12 jt,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+6 | Problem Solving,10 hari yang lalu,glints,Jakarta Barat,DKI Jakarta,1,10000000,12000000,18,20
Software Developer,PT VENTERA INTELLIX GROUP,"Kab. Klaten,Jawa Tengah","Rp 3,5 jt-5 jt",Penuh Waktu,Not Specified,Minimal Sarjana (S1),Hybrid | +7 | GIT,4 hari yang lalu,glints,Kab. Klaten,Jawa Tengah,1,3500000,5000000,18,17
Software Developer,PT. Karpa Imaji Labs,"Tangerang Selatan,Banten",Rp 10 jt-20 jt,Kontrak,5–10 tahun,Minimal Sarjana (S1),+5 | Node.js,15 hari yang lalu,glints,Tangerang Selatan,Banten,1,10000000,20000000,18,12
Software Developer,PT ALPHA STORY INDONESIA,"Jakarta Pusat,DKI Jakarta",Rp 12 jt-18 jt,Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),Python | +4,30 hari yang lalu,glints,Jakarta Pusat,DKI Jakarta,1,12000000,18000000,18,11
Software Developer,Tivinity,"Jakarta Selatan,DKI Jakarta",Rp 5 jt-7 jt,Penuh Waktu,Not Specified,Minimal Diploma (D1 - D4),Hybrid | Restful API | +3,5 hari yang lalu,glints,Jakarta Selatan,DKI Jakarta,1,5000000,7000000,18,25
Software Developer,WIRATEK SOLUSI ASIA,"Kab. Banyumas,Jawa Tengah",Rp 2 jt-3 jt,Kontrak,1–3 tahun,Minimal Sarjana (S1),+7 | PHP,17 hari yang lalu,glints,Kab. Banyumas,Jawa Tengah,1,2000000,3000000,18,8
Software Developer (Golang Developer),PT Sigma Global Teknologi,"Jakarta Barat,DKI Jakarta",Rp 9 jt-13 jt,Kontrak,3–5 tahun,Minimal Sarjana (S1),JavaScript | +12,15 hari yang lalu,glints,Jakarta Barat,DKI Jakarta,1,9000000,13000000,37,16
Junior Software Developer,PT Stampindo Lancar Jaya,"Jakarta Barat,DKI Jakarta",Rp 6 jt-8 jt,Penuh Waktu,Not Specified,Minimal SMA/SMK,Python | Redis | PostgreSQL,30 hari yang lalu,glints,Jakarta Barat,DKI Jakarta,1,6000000,8000000,25,27
