job_title,company_name,location,salary_range,job_type,experience_level,education_req,job_requirements,posted_date,source_platform
Graphic Designer & Motion Designer,PT. Smile Lab,"Jakarta Selatan,DKI Jakarta","Rp 5,5 jt-6 jt",Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),Logo Design | +3,5 hari yang lalu,glints
(Freelance) Creative Designer,Ultimo Solution,"Bandung,Jawa Barat",Tidak Ditampilkan,Freelance,Not Specified,Minimal SMA/SMK,Figma | +1 | Adobe Photoshop,Kemarin,glints
Graphic Designer,PT Sinergi Perdana Mandiri,"Kab. Tangerang,Banten","Rp 3,2 jt-4,8 jt",Penuh Waktu,1–3 tahun,Minimal SMA/SMK,Graphic Design | +5,UrgentKemarin,glints
Freelance Graphic Designer,Aerion Motors,"Jakarta Selatan,DKI Jakarta","Rp 2,4 jt-3,6 jt",Freelance,1–3 tahun,Minimal Sarjana (S1),+4 | Remote/Dari rumah,15 hari yang lalu,glints
Freelance Graphic Designer,Kreativyn.id - Zainul R***,"Kab. Sidoarjo,Jawa Timur",Tidak Ditampilkan,Freelance,Not Specified,Minimal SMA/SMK,Hybrid | +4 | Brand Design,15 hari yang lalu,glints
Graphic Designer,3mongkis,"Jakarta Pusat,DKI Jakarta",Tidak Ditampilkan,Penuh Waktu,1–3 tahun,Minimal Diploma (D1 - D4),Graphic Design | +4,9 hari yang lalu,glints
Freelance Graphic Designer,Masa Remaja,"Jakarta Selatan,DKI Jakarta",Rp 1 jt-2 jt,Freelance,1–3 tahun,Minimal SMA/SMK,+5 | Remote/Dari rumah,26 hari yang lalu,glints
Graphic Designer,Nyai Mercon,"Kab. Garut,Jawa Barat","Rp 3 jt-4,5 jt",Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+2 | Adobe Illustrator,4 hari yang lalu,glints
Graphic Designer,PT GREISY BERKAH KENCANA,"Jakarta Timur,DKI Jakarta","Rp 5,7 jt-6,5 jt",Penuh Waktu,1–3 tahun,Minimal Diploma (D1 - D4),Graphic Design | +3,3 hari yang lalu,glints
Graphic Designer,Habitat Park,"Jakarta Selatan,DKI Jakarta",Tidak Ditampilkan,Penuh Waktu,3–5 tahun,Minimal SMA/SMK,+2 | Adobe Photoshop,11 hari yang lalu,glints
Graphic Designer,Pt. Indo Duta Eka Kreasi Unik,"Jakarta Utara,DKI Jakarta",Rp 2 jt-4 jt,Penuh Waktu,1–3 tahun,Minimal SMA/SMK,+2 | Adobe Illustrator,13 hari yang lalu,glints
Graphic Designer,PT BARISAN ORANG ORANG SUKSES,"Kab. Tangerang,Banten","Rp 3,5 jt-5 jt",Penuh Waktu,1–3 tahun,Minimal Diploma (D1 - D4),+7 | Adobe Photoshop,4 hari yang lalu,glints
Freelance GRAPHIC DESIGNER,HerRay,"Bekasi,Jawa Barat","Rp 2,5 jt-3,5 jt",Freelance,Not Specified,Minimal SMA/SMK,+5 | Creative Strategy | Remote/Dari rumah,3 hari yang lalu,glints
Graphic Designer,PT Seenda Tech,"Jakarta Selatan,DKI Jakarta",Tidak Ditampilkan,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),Graphic Design | +3,9 hari yang lalu,glints
